Projeto_ID,Plataforma,Arquitetura,Dominio,Sprint_ID,US_ID,Tarefa_ID,Descritivo_da_US,Modulo,Operacao,Tarefa_mapeada,Tarefa_original,Tags,Camada,Linguagem,Framework,API,Persistencia,Outras_Tags,Esforco_estimado_em_horas,Esforco_em_horas,NFR_Tipo,NFR_Atributo,NFR_Sentença
P17,Web,Client-server,Office/Business,S01,US01,TA01,[Adm] Eu como Gerente de TI gostaria de criar Permissões do Usuário,Autenticação,Validar_permissão_do_usuário,Adicionar atributo de proteção no provider,[WEB] Criar o front-end,,Front-end,TypeScript,Angular,,,HTML/CSS,,,Security,access_control,"The system must provide the capability to create permission policy levels for users who will add, edit, or delete items from a list, open a list, and view items, lists, and pages."
P17,Web,Client-server,Office/Business,S01,US01,TA02,[Adm] Eu como Gerente de TI gostaria de criar Permissões do Usuário,Autenticação,Validar_permissão_do_usuário,Validar permissão do usuário na aplicação,O nome da permissão referente aos aplicativos Web MANDATORIAMENTE deve começar com ROLE_ (devido a restrições do Spring Security),,Front-end,TypeScript,Angular,,,HTML/CSS,,,1,1,
P17,Web,Client-server,Office/Business,S01,US01,TA03,[Adm] Eu como Gerente de TI gostaria de Listar as Permissões do Usuário,Cadastro,Recuperação_de_dados,Criar tela listagem,[Back] Criar api de listagem.,,Back-end,Java,Springboot,,,,,,Security,access_control,The system must provide the capability for users see just the information they have permission to access.
P17,Web,Client-server,Office/Business,S01,US01,TA04,[Adm] Eu como Gerente de TI gostaria de Listar as Permissões do Usuário,Cadastro,Recuperação_de_dados,Criar serviço de listagem,[Back] Criar api de listagem.,,Back-end,Java,Springboot,,,,,,Reliability,availability,The system must notify users and customers when the function they are accessing is unavailable.
P17,Web,Client-server,Office/Business,S01,US02,TA01,[Adm] Eu como Gerente de TI gostaria de Cadastrar um Usuário,Autenticação,Criar_conta,Criar tela para nova conta,[Web] Criar(Editar) Front-End da criação de Usuário.,,Front-end,HTML/CSS,Angular,,,TypeScript,,,Security,access_control,Access key must be generated automatically in the entity's registry.
P17,Web,Client-server,Office/Business,S01,US02,TA02,[Adm] Eu como Gerente de TI gostaria de Cadastrar um Usuário,Autenticação,Criar_conta,Criar rota de cadastro,[Back] Criar api de criação de Usuário.,,Back-end,Java,Springboot,,,REST,,,Security,authentication,The system must verify newly registered users by sending them a verification token via e-mail before allowing them to log in.
P17,Web,Client-server,Office/Business,S01,US02,TA03,[Adm] Eu como Gerente de TI gostaria de Cadastrar um Usuário,Autenticação,Criar_conta,Persistir no banco os dados de acesso,O sistema deve persistir em banco de dados não relacional,,Back-end,Java,Springboot,,MongoDB,,,,1,1,
P17,Web,Client-server,Office/Business,S02,US03,TA01,[Adm] Eu como Gerente de TI gostaria de Cadastrar os Perfis de Usuário,Cadastro,Inserir_dados,Consumir serviço para inserção,[Infra] Criar arcabouço do projeto,,Back-end,Java,Springboot,,,,,,Reliability,integrity,"The system must validate all data when entered based on the data validation rules. The system must use client-side data validation to improve performance for ordinary execution, i.e., no attacks. Client-side validation is faster since no request is sent to server."
P17,Web,Client-server,Office/Business,S02,US03,TA02,[Adm] Eu como Gerente de TI gostaria de Cadastrar os Perfis de Usuário,Cadastro,Inserir_dados,Criar método de inserção,[Back] Criar api de criação de Perfil.,,Back-end,Java,Springboot,,,,,,Reliability,fault_tolerance,"If the server goes offline during data insertion, the system must display a loading for a maximum of 1 minute. If the backend comes back in the meantime, the data insertion operation must be performed automatically. Otherwise, if the server remains unresponsive after 1 minute, the system must notify the server problem for users."
P17,Web,Client-server,Office/Business,S02,US03,TA03,[Adm] Eu como Gerente de TI gostaria de Cadastrar os Perfis de Usuário,Cadastro,Inserir_dados,Criar tela inserção,[Web] Criar(Editar) Front-End da criação de Perfil.,,Front-end,HTML/CSS,Angular,,,TypeScript,,,Reliability,availability,The system must notify users and customers when the function they are accessing is unavailable.
P17,Web,Client-server,Office/Business,S02,US03,TA04,[Adm] Eu como Gerente de TI gostaria de Cadastrar os Perfis de Usuário,Cadastro,Inserir_dados,Fazer validação de dados no cliente,"[Back] Adicionar as permissões ao ""script"" do mongobee.",,Back-end,Java,Springboot,,,,,,1,1,
P17,Web,Client-server,Office/Business,S02,US04,TA01,[Adm] Eu como Gerente de TI gostaria de Cadastrar os Produtos que a EPSON possui.,Cadastro,Inserir_dados,Criar tela inserção,[Frontend] Criar tela de criação de produtos,,Front-end,TypeScript,Angular,,,HTML/CSS,,,1,1,
P17,Web,Client-server,Office/Business,S02,US04,TA02,[Adm] Eu como Gerente de TI gostaria de Cadastrar os Produtos que a EPSON possui.,Cadastro,Inserir_dados,Criar método de inserção,[Backend] Criar Api para produtos.,,Back-end,Java,Springboot,,,,,,Reliability,fault_tolerance,"If the server goes offline during data insertion, the system must display a loading for a maximum of 1 minute. If the backend comes back in the meantime, the data insertion operation must be performed automatically. Otherwise, if the server remains unresponsive after 1 minute, the system must notify the server problem for users."
